x_2018,y_2018,x_2019,y_2019,Fecha_2018,Fecha_2019,Real_2018,Prevista_2018,Programada_2018,Real_2019,Prevista_2019,Programada_2019,Mes,Dia,Temp_2018,Prec_2018,Prec_2019,Temp_2019
9,4,10,4,2018-01-22,2019-01-22,30883.0,30797.472222222223,30698.375,34471.34722222222,34472.61111111112,34440.916666666664,1,22,10.874358974358975,0.8615384615384616,7.9921052631578915,5.913157894736842
10,4,11,4,2018-01-23,2019-01-23,31443.0,31429.701388888887,31359.91666666667,33952.5625,34094.208333333336,34061.333333333336,1,23,10.36666666666667,0.08974358974358974,4.381578947368421,9.489473684210532
11,4,12,4,2018-01-24,2019-01-24,31579.0,31577.52083333333,31581.16666666667,33365.21527777778,33362.17361111112,33261.208333333336,1,24,9.786842105263156,2.443589743589744,1.636842105263158,10.671794871794873
12,4,13,4,2018-01-25,2019-01-25,32054.0,32172.951388888887,32119.75,32441.3125,32467.875,32434.58333333333,1,25,8.34736842105263,7.63076923076923,0.7394736842105263,10.131578947368425
13,4,14,4,2018-01-26,2019-01-26,32589.0,32545.5625,32452.04166666667,28710.611111111113,28757.19444444444,28671.54166666667,1,26,7.000000000000002,3.092307692307693,0.6102564102564103,9.26153846153846
14,4,15,4,2018-01-27,2019-01-27,29242.0,29276.43055555556,29184.79166666667,26996.02083333333,27001.32638888889,26897.16666666667,1,27,6.679487179487178,1.4846153846153844,2.4769230769230766,8.54871794871795
15,4,9,5,2018-01-28,2019-01-28,27201.0,27226.23611111111,27130.375,32182.402777777777,32248.263888888887,32152.0,1,28,7.966666666666668,1.2897435897435898,1.8974358974358974,8.776923076923078
9,5,10,5,2018-01-29,2019-01-29,31562.0,31657.86805555556,31540.75,32968.5625,32974.625,32931.0,1,29,9.384615384615387,0.3153846153846154,3.658974358974359,8.369230769230768
10,5,11,5,2018-01-30,2019-01-30,32215.0,32246.625,32148.75,32936.47222222222,32972.006944444445,32942.916666666664,1,30,8.717948717948717,0.44871794871794873,9.679487179487179,8.366666666666667
11,5,12,5,2018-01-31,2019-01-31,32128.0,32120.090277777777,32084.375,32604.826388888887,32730.05555555556,32667.5,1,31,8.343589743589746,1.5282051282051279,10.602631578947365,11.225641025641027
21,1,22,1,2018-02-01,2019-02-01,32882.0,32917.75,32820.166666666664,32171.74305555556,32239.27083333333,32145.79166666667,2,1,7.015384615384616,5.351282051282051,6.771052631578947,8.515384615384615
22,1,23,1,2018-02-02,2019-02-02,33268.0,33286.041666666664,33272.5,29486.30555555556,29505.111111111113,29464.41666666667,2,2,5.1641025641025635,2.599999999999999,1.1815789473684213,6.489189189189188
23,1,24,1,2018-02-03,2019-02-03,29974.0,29894.83333333333,29876.70833333333,27716.840277777777,27708.67361111111,27735.875,2,3,5.661538461538462,6.71578947368421,0.1692307692307692,5.282051282051283
24,1,18,2,2018-02-04,2019-02-04,28487.0,28583.86805555556,28481.20833333333,32930.368055555555,32952.4375,32896.208333333336,2,4,5.473684210526317,5.605263157894736,0.382051282051282,6.397435897435898
18,2,19,2,2018-02-05,2019-02-05,33832.0,33920.27777777778,33891.333333333336,32853.20138888888,32922.59722222222,32865.625,2,5,4.936842105263158,4.081578947368421,0.22820512820512823,9.43846153846154
19,2,20,2,2018-02-06,2019-02-06,34316.0,34495.930555555555,34342.916666666664,32244.85416666667,32288.38194444444,32293.04166666667,2,6,4.065789473684211,3.223684210526316,0.39210526315789473,9.892105263157896
20,2,21,2,2018-02-07,2019-02-07,34583.0,34605.125,34619.208333333336,31856.27083333333,31964.576388888887,31899.75,2,7,3.763157894736841,1.2552631578947366,0.08421052631578947,9.557894736842103
21,2,22,2,2018-02-08,2019-02-08,35001.0,34957.305555555555,34927.958333333336,31475.04166666667,31569.95833333333,31515.875,2,8,3.4342105263157903,1.0621621621621622,0.31842105263157894,9.089743589743588
22,2,23,2,2018-02-09,2019-02-09,34632.0,34651.868055555555,34543.333333333336,28401.74305555556,28445.486111111113,28274.79166666667,2,9,4.613157894736842,1.2684210526315791,1.5421052631578949,10.3
23,2,24,2,2018-02-10,2019-02-10,30706.0,30707.909722222223,30573.79166666667,26638.13888888889,26650.06944444444,26512.58333333333,2,10,6.136842105263157,1.3921052631578952,0.9358974358974359,10.05263157894737
24,2,18,3,2018-02-11,2019-02-11,27947.0,27950.36111111111,27821.41666666667,30916.33333333333,30989.54166666667,30976.75,2,11,8.536842105263158,4.9947368421052625,0.482051282051282,9.666666666666666
18,3,19,3,2018-02-12,2019-02-12,32966.0,32962.194444444445,32952.208333333336,31703.24305555556,31772.25694444444,31725.25,2,12,6.578378378378377,2.6973684210526314,0.0,9.323076923076922
19,3,20,3,2018-02-13,2019-02-13,33874.0,33854.29861111112,33744.583333333336,31496.49305555556,31563.27083333333,31489.375,2,13,5.816216216216216,4.586842105263159,0.0,9.897435897435898
20,3,21,3,2018-02-14,2019-02-14,33514.0,33502.291666666664,33395.791666666664,31348.215277777777,31388.888888888887,31319.125,2,14,9.942105263157895,1.2710526315789474,0.05897435897435897,10.946153846153846
21,3,22,3,2018-02-15,2019-02-15,32513.0,32511.85416666667,32469.91666666667,31167.3125,31187.66666666667,31146.54166666667,2,15,12.09736842105263,1.773684210526316,0.4947368421052632,11.302564102564101
